title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,CMS129v8,N/A,389,102,"Percentage of patients, regardless of age, with a diagnosis of prostate cancer at low (or very low) risk of recurrence receiving interstitial prostate brachytherapy, OR external beam radiotherapy to the prostate, OR radical prostatectomy, OR cryotherapy who did not have a bone scan performed at any time since diagnosis of prostate cancer",Efficiency and Cost Reduction,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_102_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms129v8,FALSE,FALSE
Prostate Cancer: Combination Androgen Deprivation Therapy for High Risk or Very High Risk Prostate Cancer ,N/A,N/A,390,104,"Percentage of patients, regardless of age, with a diagnosis of prostate cancer at high or very high risk of recurrence receiving external beam radiotherapy to the prostate who were prescribed androgen deprivation therapy in combination with external beam radiotherapy to the prostate ",Effective Clinical Care,Process,American Urological Association Education and Research,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_104_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Major Depressive Disorder (MDD): Suicide Risk Assessment,CMS161v7,N/A,104,107,Percentage of patients aged 18 years and older with a diagnosis of major depressive disorder (MDD) with a suicide risk assessment completed during the visit in which a new diagnosis or recurrent episode was identified,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms161v7,FALSE,FALSE
Osteoarthritis (OA): Function and Pain Assessment ,N/A,N/A,N/A,109,Percentage of patient visits for patients aged 21 years and older with a diagnosis of osteoarthritis (OA) with assessment for function and pain,Person and Caregiver-Centered Experience and Outcomes,Process,American Academy of Orthopedic Surgeons,X,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_109_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_109_MedicarePartBClaims.pdf,,,FALSE,FALSE
Preventive Care and Screening: Influenza Immunization,CMS147v8,N/A,41,110,Percentage of patients aged 6 months and older seen for a visit between October 1 and March 31 who received an influenza immunization OR who reported previous receipt of an influenza immunization,Community/Population Health,Process,Physician Consortium for Performance Improvement,X,-,X,X,-,X,X,-,-,-,-,-,-,X,X,X,-,-,X,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,X,X,-,-,-,X,-,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_110_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_110_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV7_CMSWebInterface.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms147v8,FALSE,TRUE
Pneumococcal Vaccination Status for Older Adults,CMS127v7,N/A,N/A,111,Percentage of patients 65 years of age and older who have ever received a pneumococcal vaccine,Community/Population Health,Process,National Committee for Quality Assurance,X,-,X,-,-,X,X,-,-,-,-,-,-,X,X,X,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,X,X,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_111_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_111_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms127v7,FALSE,FALSE
Breast Cancer Screening,CMS125v7,N/A,2372,112,Percentage of women 50 - 74 years of age who had a mammogram to screen for breast cancer,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_112_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_112_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV5_CMSWebInterface_UPDATED.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms125v7,FALSE,FALSE
Colorectal Cancer Screening,CMS130v7,N/A,34,113,Percentage of patients 50-75 years of age who had appropriate screening for colorectal cancer,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_113_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_113_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV6_CMSWebInterface.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms130v7,FALSE,FALSE
Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,N/A,N/A,58,116,The percentage of adults 18-64 years of age with a diagnosis of acute bronchitis who were not prescribed or dispensed an antibiotic prescription,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_116_MIPSCQM.pdf,,,,FALSE,FALSE
Diabetes: Eye Exam,CMS131v7,N/A,55,117,Percentage of patients 18 - 75 years of age with diabetes who had a retinal or dilated eye exam by an eye care professional during the measurement period or a negative retinal or dilated eye exam (no evidence of retinopathy) in the 12 months prior to the measurement period,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,X,-,-,X,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_117_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_117_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms131v7,FALSE,FALSE
Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N/A,N/A,66,118,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12 month period who also have diabetes OR a current or prior Left Ventricular Ejection Fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB therapy,Effective Clinical Care,Process,American Heart Association,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_118_MIPSCQM.pdf,,,,FALSE,FALSE
Diabetes: Medical Attention for Nephropathy,CMS134v7,N/A,62,119,The percentage of patients 18-75 years of age with diabetes who had a nephropathy screening test or evidence of nephropathy during the measurement period,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_119_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms134v7,FALSE,FALSE
"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N/A,N/A,417,126,Percentage of patients aged 18 years and older with a diagnosis of diabetes mellitus who had a neurological examination of their lower extremities within 12 months,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_126_MIPSCQM%20(1).pdf,,,,FALSE,FALSE
"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N/A,N/A,416,127,Percentage of patients aged 18 years and older with a diagnosis of diabetes mellitus who were evaluated for proper footwear and sizing,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_127_MIPSCQM.pdf,,,,FALSE,FALSE
Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,CMS69v7,N/A,421,128,"Percentage of patients aged 18 years and older with a BMI documented during the current encounter or during the previous twelve months AND with a BMI outside of normal parameters, a follow-up plan is documented during the encounter or during the previous twelve months of the current encounter

Normal Parameters: Age 18 years and older BMI => 18.5 and < 25 kg/m2",Community/Population Health,Process,Centers for Medicare & Medicaid Services,X,-,X,-,-,X,-,-,X,-,X,-,-,X,X,X,-,X,X,-,-,X,-,X,-,X,-,-,X,X,-,X,-,-,-,X,-,-,-,X,X,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_128_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_128_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms069v7,FALSE,FALSE
Documentation of Current Medications in the Medical Record,CMS68v8,N/A,419,130,"Percentage of visits for patients aged 18 years and older for which the eligible professional or eligible clinician attests to documenting a list of current medications using all immediate resources available on the date of the encounter. This list must include ALL known prescriptions, over-the-counters, herbals, and vitamin/mineral/dietary (nutritional) supplements AND must contain the medications' name, dosage, frequency and route of administration",Patient Safety,Process,Centers for Medicare & Medicaid Services,X,-,X,-,-,X,X,-,X,-,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,-,X,X,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_130_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_130_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms068v8,FALSE,FALSE
Pain Assessment and Follow-Up,N/A,N/A,420,131,Percentage of visits for patients aged 18 years and older with documentation of a pain assessment using a standardized tool(s) on each visit AND documentation of a follow-up plan when pain is present,Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,X,X,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_131_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_131_MedicarePartBClaims.pdf,,,FALSE,FALSE
Preventive Care and Screening: Screening for Depression and Follow-Up Plan,CMS2v8,N/A,418,134,"Percentage of patients aged 12 years and older screened for depression on the date of the encounter using an age appropriate standardized depression screening tool AND if positive, a follow-up plan is documented on the date of the positive screen",Community/Population Health,Process,Centers for Medicare & Medicaid Services,X,-,X,X,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,X,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_134_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_134_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV12_CMSWebInterface_UPDATED.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms2v8,FALSE,FALSE
Melanoma: Continuity of Care - Recall System,N/A,N/A,N/A,137,"Percentage of patients, regardless of age, with a current diagnosis of melanoma or a history of melanoma whose information was entered, at least once within a 12 month period, into a recall system that includes:
- A target date for the next complete physical skin exam, AND
- A process to follow up with patients who either did not make an appointment within the specified timeframe or who missed a scheduled appointment",Communication and Care Coordination,Structure,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_137_MIPSCQM.pdf,,,,FALSE,FALSE
Melanoma: Coordination of Care,N/A,N/A,N/A,138,"Percentage of patient visits, regardless of age, with a new occurrence of melanoma that have a treatment plan documented in the chart that was communicated to the physician(s) providing continuing care within one month of diagnosis",Communication and Care Coordination,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_138_MIPSCQM.pdf,,,,FALSE,FALSE
Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care,N/A,N/A,563,141,"Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) whose glaucoma treatment has not failed (the most recent IOP was reduced by at least 15% from the pre-intervention level) OR if the most recent IOP was not reduced by at least 15% from the pre-intervention level, a plan of care was documented within the 12 month performance period",Communication and Care Coordination,Outcome,American Academy of Ophthalmology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_141_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_141_MedicarePartBClaims.pdf,,,FALSE,FALSE
Oncology: Medical and Radiation - Pain Intensity Quantified,CMS157v7,N/A,384,143,"Percentage of patient visits, regardless of patient age, with a diagnosis of cancer currently receiving chemotherapy or radiation therapy in which pain intensity is quantified",Person and Caregiver-Centered Experience and Outcomes,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_143_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms157v7,FALSE,FALSE
 Oncology: Medical and Radiation - Plan of Care for Moderate to Severe Pain,N/A,N/A,383,144,"Percentage of patients, regardless of age, with a diagnosis of   cancer currently receiving chemotherapy or radiation therapy who report having moderate to severe pain with a plan of care to address pain documented on or before the date of the second visit with a clinician",Person and Caregiver-Centered Experience and Outcomes,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_144_MIPSCQM.pdf,,,,FALSE,FALSE
Radiology: Exposure Dose Indices or Exposure Time and Number of Images Reported for Procedures Using Fluoroscopy,N/A,N/A,N/A,145,"Final reports for procedures using fluoroscopy that document radiation exposure indices, or exposure time and number of fluorographic images (if radiation exposure indices are not available)",Patient Safety,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_145_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_145_MedicarePartBClaims.pdf,,,FALSE,FALSE
"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Screening Mammograms",N/A,N/A,508,146,"Percentage of final reports for screening mammograms that are classified as ""probably benign""",Efficiency and Cost Reduction,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_146_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_146_MedicarePartBClaims.pdf,,,FALSE,FALSE
Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N/A,N/A,N/A,147,"Percentage of final reports for all patients, regardless of age, undergoing bone scintigraphy that include physician documentation of correlation with existing relevant imaging studies (e.g., x-ray, Magnetic Resonance Imaging (MRI), Computed Tomography (CT), etc.) that were performed",Communication and Care Coordination,Process,Society of Nuclear Medicine and Molecular Imaging,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_147_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_147_MedicarePartBClaims.pdf,,,FALSE,FALSE
