title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Maltreatment Screen and Follow-Up Plan,N/A,N/A,N/A,181,Percentage of patients aged 65 years and older with a documented elder maltreatment screen using an Elder Maltreatment Screening tool on the date of encounter AND a documented follow-up plan on the date of the positive screen.,Patient Safety,Process,Preventive Care,X,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,X,-,-,-,-,X,-,-,"X
2020
2021
2022",-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2019
2020
2021
2022",-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,"X
2019
2020
2021
2022","X
2020
2021
2022",-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Outcome Assessment,N/A,N/A,N/A,182,Percentage of visits for patients aged 18 years and older with documentation of a current functional outcome assessment using a standardized functional outcome assessment tool on the date of the encounter AND documentation of a care plan based on identified functional outcome deficiencies on the date of the identified deficiencies.,Communication and Care Coordination,Process,Functional Outcomes,X,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,-,-,-,-,-,X,-,-,"X
2020
2021
2022",-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,"X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022",-,-,"X
2020
2021
2022",-,-,-,-,"X
2020
2021
2022",-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonoscopy Interval for Patients with a History of Adenomatous Polyps – Avoidance of Inappropriate Use,N/A,N/A,N/A,185,"Percentage of patients aged 18 years and older receiving a surveillance colonoscopy, with a history of prior adenomatous polyp(s) in previous colonoscopy findings, which had an interval of 3 or more years since their last colonoscopy.",Communication and Care Coordination,Process,Appropriate Use of Healthcare,X,X,American Gastroenterological Association,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke and Stroke Rehabilitation: Thrombolytic Therapy,N/A,N/A,N/A,187,Percentage of patients aged 18 years and older with a diagnosis of acute ischemic stroke who arrive at the hospital within two hours of time last known well and for whom IV alteplase was initiated within three hours of time last known well.,Effective Clinical Care,Process,Medication Management,-,-,American Heart Association,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery,CMS133v10,0565e,0565,191,Percentage of cataract surgeries for patients aged 18 years and older with a diagnosis of uncomplicated cataract and no significant ocular conditions impacting the visual outcome of surgery and had best-corrected visual acuity of 20/40 or better (distance or near) achieved in the operative eye within 90 days following the cataract surgery.,Effective Clinical Care,Outcome,Functional Outcomes,X,-,American Academy of Ophthalmology,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataracts: Complications within 30 Days Following Cataract Surgery Requiring Additional Surgical Procedures,CMS132v8,0564e,0564,192,"Percentage of patients aged 18 years and older with a diagnosis of uncomplicated cataract who had cataract surgery and had any of a specified list of surgical procedures in the 30 days following cataract surgery which would indicate the occurrence of any of the following major complications: retained nuclear fragments, endophthalmitis, dislocated or wrong power IOL, retinal detachment, or wound dehiscence.",Patient Safety,Outcome,Management of Chronic Conditions,X,-,Physician Consortium for Performance Improvement Foundation (PCPI®),2017,2020,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiology: Stenosis Measurement in Carotid Imaging Reports,N/A,N/A,0507,195,"Percentage of final reports for carotid imaging studies (neck magnetic resonance angiography [MRA], neck computed tomography angiography [CTA], neck duplex ultrasound, carotid angiogram) performed that include direct or indirect reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement.",Effective Clinical Care,Process,Preventable Healthcare Harm,-,-,American College of Radiology,2017,2022,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic
",CMS164v6,N/A,0068,204,"Percentage of patients 18 years of age and older who were diagnosed with acute myocardial infarction (AMI), coronary artery bypass graft (CABG) or percutaneous coronary interventions (PCI) in the 12 months prior to the measurement period, or who had an active diagnosis of ischemic vascular disease (IVD) during the measurement period, and who had documentation of use of aspirin or another antiplatelet during the measurement period",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,National Committee for Quality Assurance,2017,2019,X,-,X,X,-,X,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HIV/AIDS: Sexually Transmitted Disease Screening for Chlamydia, Gonorrhea, and Syphilis",N/A,N/A,0409,205,"Percentage of patients aged 13 years and older with a diagnosis of HIV/AIDS for whom chlamydia, gonorrhea, and syphilis screenings were performed at least once since the diagnosis of HIV infection.",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,Health Resources and Services Administration,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Status Change for Patients with Knee Impairments,N/A,N/A,N/A,217,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with knee impairments. The change in functional status (FS) is assessed using the FOTO Lower Extremity Physical Function (LEPF) patient-reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk-adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure).",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Status Change for Patients with Hip Impairments,N/A,N/A,N/A,218,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with hip impairments. The change in functional status (FS) is assessed using the FOTO Lower Extremity Physical Function (LEPF) patient-reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure). ",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Functional Status Change for Patients with Lower Leg, Foot or Ankle Impairments",N/A,N/A,N/A,219,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with foot, ankle or lower leg impairments. The change in functional status (FS) is assessed using the FOTO Lower Extremity Physical Function (LEPF) patient- reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk-adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure).",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Status Change for Patients with Low Back Impairments,N/A,N/A,N/A,220,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with low back impairments. The change in functional status (FS) is assessed using the FOTO Low Back FS patient-reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure).",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Status Change for Patients with Shoulder Impairments,N/A,N/A,N/A,221,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with shoulder impairments. The change in functional status (FS) is assessed using the FOTO Shoulder FS patient-reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure).",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Functional Status Change for Patients with Elbow, Wrist or Hand Impairments",N/A,N/A,N/A,222,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with elbow, wrist, or hand impairments. The change in functional status (FS) is assessed using the FOTO Elbow/Wrist/Hand FS patient-reported outcome measure (PROM). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static measure).",Communication and Care Coordination,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"-",-,N,Y,1,N/A,N/A,N,N,N,N,N,N,N,,,"This measure may produce variation in the method to determine denominator eligibility as some clinicians, groups, and virtual groups may map based on the expanded set of ICD-10 codes. ",N,N,N,N,N,"Y (2020) ",2020,The substantive changes finalized for the 2020 performance period would require the benchmark be removed for the 2020 Benchmarking File.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Status Change for Patients with General Orthopedic Impairments,N/A,N/A,0428,223,"A patient-reported outcome measure of risk-adjusted change in functional status (FS) for patients aged 14 years+ with general orthopedic impairments (neck, cranium, mandible, thoracic spine, ribs or other general orthopedic impairment). The change in FS is assessed using the General Orthopedic FS PROM (patient reported outcome measure) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey).",Communication and Care Coordination,Patient Reported Outcome,Functional Outcomes,X,-,"Focus on Therapeutic Outcomes, Inc.",2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,-,-,-,-,-,-,-,-,-,-,-,-,"There are four submission criteria for this measure and one performance rate.",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma: Avoidance of Overutilization of Imaging Studies,N/A,N/A,N/A,224,"Percentage of patients, regardless of age, with a current diagnosis of Stage 0 through IIC melanoma or a history of melanoma of any stage, without signs or symptoms suggesting systemic spread, seen for an office visit during the one-year measurement period, for whom no diagnostic imaging studies were ordered",Efficiency and Cost Reduction,Process,"Appropriate Use of Healthcare ",X,X,American Academy of Dermatology,2017,2019,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The measure has multiple denominator options. This measure requires the reporting of only one reporting and performance rate. 

 For denominator criteria, encounter codes with Telehealth modifiers GQ, GT, 95 and POS 02 would not be considered encounter (eligible cases).",,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,Y (2018),First,2018,Annual analysis of ICD10 codes indicated greater than 10 percent impacted,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiology: Reminder System for Screening Mammograms,N/A,N/A,0509,225,Percentage of patients undergoing a screening mammogram whose information is entered into a reminder system with a target due date for the next mammogram.,Communication and Care Coordination,Structure,Preventive Care,X,-,American College of Radiology,2017,2022,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,CMS138v10,0028e,0028,226,"Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period AND who received tobacco cessation intervention on the date of the encounter or within the previous 12 months if identified as a tobacco user.
Three rates are reported:
a. Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period.
b. Percentage of patients aged 18 years and older who were identified as a tobacco user who received tobacco cessation intervention on the date of the encounter or within the previous 12 months.
c. Percentage of patients aged 18 years and older who were screened for tobacco use one or more times during the measurement period AND who received tobacco cessation intervention if identified as a tobacco user on the date of the encounter or within the previous 12 months.",Community/Population Health,Process,Prevention and Treatment of Opioid and Substance Use Disorders,-,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,X,X,-,X,"X
2017
2018
2019
2020
2021
2022",-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2022",-,"X
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,2017,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,2017,2018,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","The eCQM does not align with the MIPS CQM and Medicare Part B Claims collection types:
MIPS CQM/Medicare Part B Claims
This measure will be calculated with 3 performance rates:
1) Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period
2) Percentage of patients aged 18 years and older who were identified as a tobacco user who received tobacco cessation intervention on the date of the encounter or within the previous 12 months
3) Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period AND who received tobacco cessation intervention if identified as a tobacco user on the date of the encounter or within the previous 12 months

eCQM Collection Type:
Three rates are reported:
a. Percentage of patients aged 18 years and older who were screened for tobacco use one or more times during the measurement period
b. Percentage of patients aged 18 years and older who were identified as a tobacco user who received tobacco cessation intervention
c. Percentage of patients aged 18 years and older who were screened for tobacco use one or more times during the measurement period AND who received tobacco cessation intervention if identified as a tobacco user
",-,N,Y,3,2nd Performance Rate,"MIPS CQM/Medicare Part B Claims
Rate 1: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period
Rate 2: Percentage of patients aged 18 years and older who were identified as a tobacco user who received tobacco cessation intervention on the date of the encounter or within the previous 12 months
Rate 3: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period AND who received tobacco cessation intervention if identified as a tobacco user on the date of the encounter or within the previous 12 months

eCQM Collection Type:
Rate 1: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times during the measurement period
Rate 2: Percentage of patients aged 18 years and older who were identified as a tobacco user who received tobacco cessation intervention
Rate 3: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times during the measurement period AND who received tobacco cessation intervention if identified as a tobacco user",N,N,N,N,(Y) 2019,N,N,Suppression,2019,Retroactive substantive changes related to the timeframe to capture the performance of smoking cessation during the 24-month look-back period.,"Y (2018)
Y (2021)",N,"Y (2018)
Y (2021)","Y (2018)
N (2021)
Y (2022)",N,"Y (2018)
Y (2021)","2018
2021
2022","2022: Web Interface is being updated to align with other collection types.

2021: This measure is being revised to every 12 months from every 24 months.

2018: This measure was revised to be a multi-strata measure. The benchmarked rate is not limited to patient that assess positive and receive cessation. ",,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
